epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2647.84,1.42462,0.56824,0.00264,0.96109,0.95189,0.98806,0.68622,1.13661,0.38675,0.00102,0.0007988,0.0007988,0.0007988
93,2676.59,1.41821,0.5504,0.00272,0.96696,0.95775,0.98957,0.63885,1.30415,0.41067,0.00118,0.0007856,0.0007856,0.0007856
94,2704.7,1.42223,0.51992,0.00243,0.9705,0.95176,0.98954,0.69717,1.08867,0.39488,0.00098,0.0007724,0.0007724,0.0007724
95,2733.34,1.42961,0.52092,0.0024,0.97203,0.95677,0.99,0.71095,1.06133,0.36414,0.00095,0.0007592,0.0007592,0.0007592
96,2762.79,1.42288,0.54746,0.00267,0.97129,0.95152,0.9897,0.71361,1.04974,0.38244,0.00094,0.000746,0.000746,0.000746
97,2792.17,1.40464,0.51175,0.00226,0.97313,0.95536,0.98973,0.7137,1.05529,0.38583,0.00094,0.0007328,0.0007328,0.0007328
98,2821.41,1.41288,0.51486,0.00231,0.96796,0.95433,0.9897,0.71924,1.03321,0.35421,0.00093,0.0007196,0.0007196,0.0007196
99,2850.61,1.40979,0.54409,0.00252,0.96605,0.94501,0.98745,0.71386,1.06811,0.39218,0.00095,0.0007064,0.0007064,0.0007064
100,2879.22,1.41879,0.54468,0.00273,0.96817,0.94798,0.98931,0.72992,0.99949,0.36856,0.00089,0.0006932,0.0006932,0.0006932
101,2908.05,1.42724,0.53325,0.00243,0.96964,0.94761,0.98872,0.68476,1.12159,0.38476,0.00101,0.00068,0.00068,0.00068
102,2936.76,1.41452,0.52273,0.00241,0.96466,0.95007,0.98865,0.72959,1.00248,0.37519,0.0009,0.0006668,0.0006668,0.0006668
103,2965.78,1.41591,0.51376,0.0024,0.97067,0.9416,0.98822,0.72486,1.01621,0.40094,0.00092,0.0006536,0.0006536,0.0006536
