epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2208.29,1.44165,0.54903,0.00266,0.97778,0.95101,0.99072,0.70077,1.0923,0.3577,0.001,0.0014159,0.0014159,0.0014159
61,2244.26,1.43056,0.52587,0.00246,0.97777,0.95408,0.99077,0.698,1.09033,0.37021,0.001,0.001406,0.001406,0.001406
62,2279.91,1.43651,0.52096,0.00259,0.97645,0.96337,0.9919,0.73385,0.98239,0.32443,0.00089,0.0013961,0.0013961,0.0013961
63,2315.95,1.42537,0.50035,0.00237,0.97893,0.95303,0.99128,0.70661,1.08141,0.35844,0.00099,0.0013862,0.0013862,0.0013862
64,2352.66,1.42884,0.52623,0.00255,0.97786,0.94016,0.98911,0.69949,1.0939,0.36293,0.001,0.0013763,0.0013763,0.0013763
65,2389.1,1.44047,0.49906,0.00239,0.97781,0.963,0.99187,0.68069,1.18958,0.35034,0.0011,0.0013664,0.0013664,0.0013664
66,2424.95,1.42236,0.48602,0.00235,0.97871,0.9525,0.99038,0.69899,1.10144,0.38037,0.00099,0.0013565,0.0013565,0.0013565
67,2460.69,1.40647,0.50934,0.00258,0.98023,0.96248,0.9921,0.68805,1.12028,0.34827,0.00102,0.0013466,0.0013466,0.0013466
68,2496.11,1.4245,0.49767,0.00239,0.97721,0.9514,0.98959,0.72607,1.00813,0.35817,0.0009,0.0013367,0.0013367,0.0013367
69,2532.04,1.44644,0.52248,0.00254,0.97894,0.96031,0.99175,0.72171,1.02272,0.32788,0.00092,0.0013268,0.0013268,0.0013268
70,2569.24,1.43844,0.53789,0.00269,0.97762,0.96013,0.99128,0.67017,1.18854,0.36601,0.00109,0.0013169,0.0013169,0.0013169
71,2605.58,1.41779,0.51074,0.00248,0.98068,0.96675,0.9924,0.69208,1.12384,0.35087,0.00104,0.001307,0.001307,0.001307
72,2641.55,1.43555,0.5043,0.00241,0.97673,0.95837,0.99146,0.73449,0.97218,0.3505,0.00088,0.0012971,0.0012971,0.0012971
73,2677.96,1.39461,0.5127,0.00249,0.98248,0.96556,0.99246,0.71212,1.04784,0.33617,0.00094,0.0012872,0.0012872,0.0012872
74,2714.09,1.42477,0.49467,0.0023,0.98024,0.97539,0.99208,0.66904,1.16312,0.35034,0.00106,0.0012773,0.0012773,0.0012773
